X,Y,OBJECTID,CBML,TIPO_SITIO,NOMBRE,TIPO_IMPORTANCIA
-75.584883210699999,6.197370011,10589,15100230001,Cancha,CANCHA,Baja
-75.576857400700007,6.2292420819,10590,15040860020,Industria,TALLER MAFRIFLEX S.A,Medio
-75.589740452800001,6.1968617533,10591,15100150023,Bodega,BODEGA PRODUCTOS QUIMICOS,Medio
-75.579803893499999,6.2282243185,10592,15030740044,Industria,DISTRIFULL S.A.,Medio
-75.581444828900004,6.2173356194,10593,15070520009,Señalización,GRUPO ATLAS,Baja
-75.579712479500003,6.2285176984,10594,15030740021,Industria,CONALSOL LTDA.,Medio
-75.582095025699999,6.229086947,10595,15030700015,Centro de Cultura Religiosa,PARROQUIA DE LA SANTISIMA TRINIDAD,Alta
-75.5796307512,6.2301546766,10596,15020020005,Industria,IMPRESORA COLOMBIANA S.,Medio
-75.585255265,6.1987624365,10597,15100260011,Edificios,PRIMER PLANO,Alta
-75.590922046900005,6.2011654241,10598,15110230099,Edificios,LEON DARIO,Alta
-75.578642598299993,6.2315702687,10599,15020070014,Comercio,LOCAL,Medio
-75.580433662900006,6.2313458658,10600,15020090003,Industria,C.I ITALIAN STYLE,Medio
-75.586230795099993,6.2023278941,10601,15100500012,Comercio,MARES,Medio
-75.589618771,6.1953634749,10602,15100040006,Oficina,ING. ASOCIADOS,Medio
-75.5890590522,6.2013968333,10603,15110030018,Clinica Hospitales,CENTRO DE SALUD GUAYABAL,Medio
-75.58848369899999,6.2057223646,10604,15090100004,Edificios,RODEO 1,Alta
-75.584476275599997,6.1986961412,10605,15100270016,Industria,PRODUCTOS FAMILIA,Medio
-75.586639075799994,6.2283110695,10606,15030520009,Instituto Educativo,INSTITUCION EDUCATIVA BENJAMIN HERRERA,Alta
-75.588347874600004,6.1983134906,10607,15100160066,Comercio,POLLO COLORIN,Medio
-75.583422987700004,6.2035824253,10608,15090210017,Edificios,QUIJANO AGUIRRE P.H.,Baja
-75.587980469100003,6.2092271034,10609,15090760012,Edificios,SANTACOLONIA,Medio
-75.594811912799997,6.2007939808,10610,15110550002,Edificios,AGUIRRE VARGAS,Medio
-75.590048948100005,6.1943810646,10611,15100040016,Parque,INFANTIL,Baja
-75.5871557846,6.2006217024,10612,15100320029,Conjuto Residencial,ALDEA DE GUAYABAL,Alta
-75.592184754300007,6.1988681502,10613,15110650005,Conjuto Residencial,LA COLINITA,Alta
-75.585740427,6.202886712,10614,15100500020,Industria,ESPOCOM,Medio
-75.591434617199994,6.1933837562,10615,15100010022,Comercio,MONTACARGAS AM.Y M,Medio
-75.585344270799993,6.213650112,10616,15070370016,Edificios,JESUS OBRERO,Alta
-75.590891881399997,6.1943046571,10617,15100010026,Estaciones de Servicio,TERPEL,Alta
-75.578051197700006,6.2297586177,10618,15030750015,Comercio,PARQUEADERO CENTRO MERCANTIL,Medio
-75.582133900499997,6.2008360707,10619,15100420024,Industria,COLOMBIANA DE CAFE S.A.,Medio
-75.581117832100006,6.231288543,10620,15020090035,Industria,PRODIPLAST,Medio
-75.582337603499994,6.1999472749,10621,15100270019,Industria,COLCAFE Y NACIONAL DE CHOCOLATE,Medio
-75.589861422599995,6.1967104206,10622,15100150044,Industria,ACCERIAS DE CALDAS,Medio
-75.5848491279,6.1975991138,10623,15100230001,Estaciones Policia,C. T. I.,Alta
-75.587359487200004,6.2077530102,10624,15090540002,Supermercados,CARULLA,Baja
-75.577217907600001,6.2271181535,10625,15040860038,Industria,INDUSTRIAS FONOGRAFICAS VICTORIA,Medio
-75.586939529399999,6.2214455735,10626,15040120001,Comercio,CENTRO EDUCATIVO LOS ANGELES CUSTODIOS,Medio
-75.584953916200007,6.2016878698,10627,15100400002,Industria,ORENSE,Medio
-75.584659465900003,6.223323523,10628,15040620009,Centros Comerciales,COMERCIALIZADORA DE CABLES,Alta
-75.578812481900002,6.2176118063,10629,15040820026,Industria,SAPORITI LTDA.,Medio
-75.585008667799997,6.2079809676,10630,15090720108,Comercio,PAPELERIA DANARANJO LTDA,Medio
-75.584058369,6.223689015,10632,15040610001,Señalización,CANAL QUEBRADA LA GUAYABALA,Baja
-75.578690798400004,6.2303891752,10633,15020010006,Señalización,TRATAMIENTOS TERMICOS,Baja
-75.595155064699995,6.1980674125,10634,15110930001,Conjuto Residencial,GUAYABALIA ETAPA 4,Alta
-75.583854736500001,6.1965772217,10635,15100220009,Comercio,ALFATECNICA,Medio
-75.583166254600002,6.2068383433,10636,15090720058,Industria,INDUSTRIAL DE RETENEDORES Y CAUCHOS,Medio
-75.585022679199994,6.2176850457,10637,15070490002,Industria,PREVEL,Medio
-75.588702078099999,6.1997165596,10638,15100250015,Industria,PLASTILONA,Medio
-75.595026462700005,6.1990456085,10639,15111010057,Conjuto Residencial,AIRES DE GUAYABALIA,Medio
-75.587639653699995,6.2080632625,10640,15090540003,Centro de Cultura Religiosa,CONG. RELIGIOSA ANGEL DE LA GUARDA,Alta
-75.583795722700003,6.2264762552,10641,15030220001,Edificios,EDIFICIO LA ISLA,Alta
-75.582017529799998,6.1987679111,10642,15100270018,Industria,PRODUCTOS FAMILIA,Medio
-75.587250516899999,6.2017260888,10643,15100350003,Industria,INDUSTRIAS VERA,Medio
-75.584568430199994,6.2018951674,10644,15100490017,Señalización,VALLAS COLOMBIANAS C.E.V,Baja
-75.581210223699998,6.2313007629,10645,15020090010,Industria,TALLER I ID. JULIO FRAN,Medio
-75.581513630100005,6.2159179853,10646,15070520015,Industria,DISCAR LTDA.,Medio
-75.579447242100002,6.2300554904,10647,15020020001,Industria,TALLER ARANAUTOS,Medio
-75.588571639899996,6.2059374593,10648,15090100002,Edificios,RODEO 3,Alta
-75.591957289,6.1991491323,10649,15110650032,Edificios,GUANAHANY ETAPA II,Baja
-75.580260722299997,6.2307262008,10650,15020050017,Cancha,DE FUTBOL,Baja
-75.5774541989,6.2272533456,10651,15040860036,Industria,INVERSIONES ULTRA S.A,Medio
-75.577870344800004,6.2250538205,10652,15040850001,Industria,GASEOSA LUX,Medio
-75.579098002199999,6.2304320289,10653,15020010004,Comercio,MARINADOS,Medio
-75.585687151299993,6.2040309187,10654,15090060004,Estaciones de Servicio,TERPEL,Alta
-75.578619226,6.2304445229,10655,15020010007,Industria,CORTES Y METALES,Medio
-75.582857009400001,6.224392775,10656,15040740004,Cancha,PLACA POLIDEPORTIVA SANTA FE,Baja
-75.583598419899999,6.201051446,10657,15100410007,Industria,AGRALBA S.A.,Medio
-75.579539268299996,6.2315615711,10658,15020060012,Industria,COLBORDADOS LTDA.,Medio
-75.584052279800005,6.2011749311,10659,15100410002,Industria,MACON LTDA.,Medio
-75.576931174600006,6.228902374,10660,15040860016,Bodega,BODEGA PROCAL S.A,Medio
-75.585473041,6.2036816549,10661,15090060006,Comercio,RAGGED,Medio
-75.585692824600002,6.1988736628,10662,15100260010,Industria,PARMA,Medio
