IrE,ErE,Reward,Param,Value,Q-value
0.488,0.35,0,infectionProbability,0.2,0
0.3,0.33,0.188,infectionProbability,0,0.0376
0.356,0.29,0,infectionProbability,0,0.0361
0.5,0.35,-0.2,infectionProbability,0.6,-0.0342
0.3,0.33,0,infectionProbability,0,0.0347
0.358,0.286,0,infectionProbability,0,0.0333
0.3,0.336,0,infectionProbability,0,0.0319
0.3,0.322,0,infectionProbability,0,0.0307
0.374,0.308,0,infectionProbability,0,0.0294
0.3,0.334,0,infectionProbability,0,0.0283
0.3,0.32,0,infectionProbability,0,0.0271
0.468,0.35,-0.168,infectionProbability,1,-0.0293
0.3,0.33,0,infectionProbability,0,0.026
0.3,0.322,0,infectionProbability,0,0.025
0.348,0.322,0,infectionProbability,0,0.024
0.3,0.336,0,infectionProbability,0,0.023
0.3,0.318,0,infectionProbability,0,0.0221
0.364,0.328,0,infectionProbability,0,0.0212
0.3,0.334,0,infectionProbability,0,0.0204
0.3,0.312,0,infectionProbability,0,0.0196
0.3,0.336,0,averageRoomVentilationRate,1.2,0
0.3,0.35,0,averageRoomVentilationRate,0,0
0.3,0.226,0,averageRoomVentilationRate,1.8,0
0.3,0.334,0,averageRoomVentilationRate,1.2,0
0.3,0.242,0,averageRoomVentilationRate,2.4,0
0.3,0.176,0,averageRoomVentilationRate,2.4,0
0.3,0.208,0,averageRoomVentilationRate,3,0
0.3,0.29,0,averageRoomVentilationRate,1.8,0
0.3,0.148,0,averageRoomVentilationRate,3,0
0.3,0.202,0,averageRoomVentilationRate,3,0
0.3,0.242,0,averageRoomVentilationRate,2.4,0
0.32,0.146,0,averageRoomVentilationRate,3,0
0.3,0.35,0,averageRoomVentilationRate,0,0
0.3,0.326,0,averageRoomVentilationRate,1.2,0
0.348,0.35,0,averageRoomVentilationRate,0,0
0.3,0.296,0,averageRoomVentilationRate,1.8,0
0.3,0.274,0,averageRoomVentilationRate,1.8,0
0.35,0.162,0,averageRoomVentilationRate,3,0
0.3,0.338,0,averageRoomVentilationRate,1.2,0
0.3,0.166,0,averageRoomVentilationRate,3,0
0.362,0.218,0,infectionProbability,0,0.0188
0.3,0.194,0,infectionProbability,0,0.018
0.3,0.184,0,infectionProbability,0,0.0173
0.36,0.22,0,infectionProbability,0,0.0166
0.3,0.172,0,infectionProbability,0,0.016
0.3,0.152,0,infectionProbability,0,0.0153
0.356,0.232,0,infectionProbability,0,0.0147
0.492,0.35,-0.192,infectionProbability,0.6,-0.0634
0.3,0.15,0,infectionProbability,0,0.0141
0.49,0.35,-0.19,infectionProbability,1,-0.0591
0.3,0.188,0,infectionProbability,0,0.0136
0.3,0.128,0,infectionProbability,0,0.013
0.366,0.222,0,infectionProbability,0,0.0125
0.3,0.172,0,infectionProbability,0,0.012
0.3,0.134,0,infectionProbability,0,0.0115
0.496,0.35,-0.196,infectionProbability,0.6,-0.0881
0.3,0.17,0,infectionProbability,0,0.011
0.3,0.144,0,infectionProbability,0,0.0106
0.3,0.24,0,infectionProbability,0,0.0102
0.3,0.208,0,infectionProbability,0,0.0098
0.3,0.124,0,averageRoomVentilationRate,3,0
0.3,0.35,0,averageRoomVentilationRate,0.6,0
0.3,0.35,0,averageRoomVentilationRate,0.6,0
0.3,0.182,0,averageRoomVentilationRate,2.4,0
0.3,0.35,0,averageRoomVentilationRate,0,0
0.3,0.33,0,averageRoomVentilationRate,1.2,0
0.302,0.28,0,averageRoomVentilationRate,1.2,0
0.3,0.34,0,averageRoomVentilationRate,1.2,0
0.3,0.188,0,averageRoomVentilationRate,3,0
0.332,0.156,0,averageRoomVentilationRate,3,0
0.3,0.3,0,averageRoomVentilationRate,1.8,0
0.3,0.35,0,averageRoomVentilationRate,0,0
0.36,0.224,0,averageRoomVentilationRate,1.8,0
0.3,0.296,0,averageRoomVentilationRate,1.8,0
0.3,0.334,0,averageRoomVentilationRate,1.2,0
0.374,0.2,0,averageRoomVentilationRate,2.4,0
0.3,0.288,0,averageRoomVentilationRate,1.8,0
0.3,0.35,0,averageRoomVentilationRate,0,0
0.372,0.35,0,averageRoomVentilationRate,0,0
0.3,0.35,0,averageRoomVentilationRate,0,0
0.3,0.35,0,infectionProbability,0,0.0094
0.45,0.35,-0.15,infectionProbability,0.2,-0.0285
0.3,0.35,0,infectionProbability,0,0.009
0.3,0.35,0,infectionProbability,0,0.0086
0.372,0.35,0,infectionProbability,0,0.0083
0.3,0.35,0,infectionProbability,0,0.008
0.3,0.35,0,infectionProbability,0,0.0077
0.352,0.35,0,infectionProbability,0,0.0073
0.3,0.35,0,infectionProbability,0,0.0071
0.3,0.35,0,infectionProbability,0,0.0068
0.5,0.35,-0.2,infectionProbability,0.4,-0.0389
0.3,0.35,0,infectionProbability,0,0.0065
0.3,0.35,0,infectionProbability,0,0.0062
0.3,0.35,0,infectionProbability,0,0.006
0.3,0.35,0,infectionProbability,0,0.0057
0.3,0.35,0,infectionProbability,0,0.0055
0.3,0.35,0,infectionProbability,0,0.0053
0.3,0.35,0,infectionProbability,0,0.0051
0.3,0.35,0,infectionProbability,0,0.0049
0.3,0.35,0,infectionProbability,0,0.0047
0.3,0.33,0,averageRoomVentilationRate,1.2,0
0.3,0.148,0,averageRoomVentilationRate,3,0
0.3,0.35,0,averageRoomVentilationRate,0.6,0
0.3,0.35,0,averageRoomVentilationRate,0.6,0
0.316,0.154,0,averageRoomVentilationRate,3,0
0.3,0.248,0,averageRoomVentilationRate,2.4,0
0.3,0.35,0,averageRoomVentilationRate,0.6,0
0.352,0.222,0,averageRoomVentilationRate,1.8,0
0.3,0.332,0,averageRoomVentilationRate,1.2,0
0.3,0.154,0,averageRoomVentilationRate,3,0
0.352,0.334,0,averageRoomVentilationRate,0.6,0
0.3,0.35,0,averageRoomVentilationRate,0,0
0.3,0.156,0,averageRoomVentilationRate,3,0
0.362,0.338,0,averageRoomVentilationRate,0.6,0
0.3,0.248,0,averageRoomVentilationRate,2.4,0
0.3,0.274,0,averageRoomVentilationRate,1.8,0
0.35,0.346,0,averageRoomVentilationRate,0.6,0
0.3,0.286,0,averageRoomVentilationRate,1.8,0
0.3,0.27,0,averageRoomVentilationRate,1.8,0
0.35,0.35,0,averageRoomVentilationRate,0,0
0.3,0.35,0,infectionProbability,0,0.0045
0.3,0.35,0,infectionProbability,0,0.0043
