IrE,ErE,Reward,Param,Value,Q-value
0.362,0.328,-1,infectionProbability,0.2,-0.4394
0.178,0.05,-1,infectionProbability,0.2,-0.526
0.3,0.104,-1,infectionProbability,0,-0.474
0.4,0.344,-1,infectionProbability,1,-0.4804
0.438,0.318,-1,infectionProbability,1,-0.5645
0.122,0.13,-1,infectionProbability,0.8,-0.4936
0.344,0.324,-1,infectionProbability,0.6,-0.5135
0.046,0.132,1,infectionProbability,0.4,-0.3172
0.154,0.078,-1,infectionProbability,0.4,-0.4108
0.364,0.346,-1,infectionProbability,0.4,-0.5026
0.31,0.346,-1,averageRoomVentilationRate,4,-0.5671
0.162,0.346,-1,averageRoomVentilationRate,2,-0.5708
0.366,0.372,-1,averageRoomVentilationRate,10,-0.6278
0.1,0.27,-1,averageRoomVentilationRate,6,-0.6329
0.5,0.35,-1,averageRoomVentilationRate,0,-0.6455
0.418,0.348,-1,averageRoomVentilationRate,4,-0.655
0.042,0.15,1,averageRoomVentilationRate,8,-0.4468
0.22,0.072,-1,averageRoomVentilationRate,8,-0.5379
0.3,0.304,-1,averageRoomVentilationRate,8,-0.6271
0.488,0.35,-1,averageRoomVentilationRate,2,-0.6594
0.242,0.116,-1,averageRoomVentilationRate,8,-0.7146
0.062,0.126,1,averageRoomVentilationRate,10,-0.5153
0.116,0.042,1,averageRoomVentilationRate,10,-0.405
0.266,0.218,-1,averageRoomVentilationRate,10,-0.4969
0.072,0.138,-1,averageRoomVentilationRate,10,-0.5869
0.122,0.054,0.02,averageRoomVentilationRate,10,-0.5732
0.28,0.226,-1,averageRoomVentilationRate,10,-0.6617
0.188,0.3,-1,averageRoomVentilationRate,6,-0.7202
0.5,0.35,-1,averageRoomVentilationRate,0,-0.7326
0.266,0.198,-1,averageRoomVentilationRate,4,-0.7419
0.3,0.114,-1,infectionProbability,0,-0.5645
0.436,0.346,-1,infectionProbability,0.8,-0.5837
0.298,0.202,-1,infectionProbability,0.4,-0.5926
0.48,0.35,-1,infectionProbability,0.6,-0.6033
0.1,0.252,-1,infectionProbability,0.2,-0.6155
0.296,0.256,-1,infectionProbability,1,-0.6532
0.3,0.104,-1,infectionProbability,0,-0.6532
0.3,0.084,-1,infectionProbability,0,-0.7346
0.382,0.288,-1,infectionProbability,0.8,-0.6721
0.374,0.346,-1,infectionProbability,0.4,-0.6807
0.186,0.32,-1,infectionProbability,0.6,-0.6912
0.368,0.314,-1,infectionProbability,0.2,-0.7032
0.5,0.35,-1,infectionProbability,1,-0.7401
0.3,0.074,-1,infectionProbability,0,-0.8149
0.44,0.35,-1,infectionProbability,0.8,-0.7586
0.354,0.346,-1,infectionProbability,0.4,-0.7671
0.196,0.278,-1,infectionProbability,0.6,-0.7774
0.368,0.326,-1,infectionProbability,0.2,-0.7891
0.5,0.35,-1,infectionProbability,1,-0.8253
0.2,0.302,-1,infectionProbability,0.8,-0.8434
0.498,0.35,-1,averageRoomVentilationRate,2,-0.7462
0.206,0.184,-1,averageRoomVentilationRate,10,-0.7485
0.132,0.142,-1,averageRoomVentilationRate,8,-0.8003
0.464,0.346,-1,averageRoomVentilationRate,6,-0.8058
0.5,0.35,-1,averageRoomVentilationRate,0,-0.8179
0.188,0.232,-1,averageRoomVentilationRate,4,-0.8271
0.5,0.35,-1,averageRoomVentilationRate,2,-0.8313
0.158,0.15,-1,averageRoomVentilationRate,10,-0.8335
0.202,0.176,-1,averageRoomVentilationRate,8,-0.8843
0.476,0.346,-1,averageRoomVentilationRate,6,-0.8897
0.5,0.35,-1,averageRoomVentilationRate,0,-0.9016
0.21,0.222,-1,averageRoomVentilationRate,4,-0.9105
0.5,0.35,-1,averageRoomVentilationRate,2,-0.9146
0.104,0.118,0.02,averageRoomVentilationRate,10,-0.8148
0.264,0.234,-1,averageRoomVentilationRate,10,-0.8986
0.414,0.312,-1,averageRoomVentilationRate,8,-0.9666
0.412,0.346,-1,averageRoomVentilationRate,4,-0.9907
0.282,0.186,-1,averageRoomVentilationRate,6,-0.9719
0.308,0.246,-1,averageRoomVentilationRate,10,-0.9806
0.5,0.35,-1,averageRoomVentilationRate,0,-0.9835
0.418,0.35,-1,infectionProbability,0.4,-0.8518
0.5,0.35,-1,infectionProbability,0.6,-0.8618
0.5,0.35,-1,infectionProbability,0.2,-0.8733
0.36,0.35,-1,infectionProbability,0,-0.8986
0.5,0.35,-1,infectionProbability,1,-0.9088
0.5,0.35,-1,infectionProbability,0.2,-0.9535
0.422,0.35,-1,infectionProbability,0.8,-0.9266
0.5,0.35,-1,infectionProbability,0.8,-1.0021
0.5,0.35,-1,infectionProbability,0.4,-0.9347
0.432,0.35,-1,infectionProbability,0.6,-0.9446
0.3,0.35,-1,infectionProbability,0,-0.9806
0.5,0.35,-1,infectionProbability,1,-0.9906
0.448,0.35,-1,infectionProbability,0.4,-1.016
0.5,0.35,-1,infectionProbability,0.6,-1.0257
0.5,0.35,-1,infectionProbability,0.2,-1.0344
0.358,0.35,-1,infectionProbability,0,-1.061
0.5,0.35,-1,infectionProbability,1,-1.0708
0.5,0.35,-1,infectionProbability,0.8,-1.082
