IrE,ErE,Reward,Param,Value,Q-value
0.5,0.35,-0.31,averageRoomVentilationRate,1.8,-0.1392
0.282,0.316,0,averageRoomVentilationRate,1.8,-0.1333
0.5,0.35,-0.31,averageRoomVentilationRate,2.4,-0.1418
0.5,0.35,-0.31,averageRoomVentilationRate,0,-0.1425
0.324,0.35,-0.134,averageRoomVentilationRate,0.6,-0.1307
0.5,0.35,-0.31,averageRoomVentilationRate,0.6,-0.1578
0.492,0.35,-0.302,averageRoomVentilationRate,1.8,-0.1595
0.356,0.274,-0.166,averageRoomVentilationRate,3,-0.1479
0.5,0.35,-0.31,averageRoomVentilationRate,0.6,-0.1827
0.494,0.35,-0.304,averageRoomVentilationRate,1.2,-0.1647
0.41,0.312,-0.22,averageRoomVentilationRate,2.4,-0.1596
0.5,0.35,-0.31,averageRoomVentilationRate,0,-0.1692
0.336,0.348,-0.146,averageRoomVentilationRate,3,-0.158
0.43,0.348,-0.24,averageRoomVentilationRate,3,-0.1773
0.5,0.35,-0.31,averageRoomVentilationRate,1.8,-0.1857
0.374,0.35,-0.184,averageRoomVentilationRate,2.4,-0.1732
0.456,0.34,-0.266,averageRoomVentilationRate,1.2,-0.1864
0.5,0.35,-0.31,infectionProbability,0.4,-0.1836
0.3,0.322,-0.11,infectionProbability,0,-0.1673
0.482,0.35,-0.292,infectionProbability,0.6,-0.1863
0.3,0.338,-0.11,infectionProbability,0,-0.1733
0.3,0.314,-0.11,infectionProbability,0,-0.1791
0.488,0.35,-0.298,infectionProbability,0.2,-0.2021
0.5,0.35,-0.31,infectionProbability,1,-0.2038
0.3,0.31,-0.11,infectionProbability,0,-0.1847
0.5,0.35,-0.31,infectionProbability,0.8,-0.2088
0.5,0.35,-0.31,infectionProbability,0.4,-0.2091
0.3,0.308,-0.11,infectionProbability,0,-0.1901
0.5,0.35,-0.31,infectionProbability,0.6,-0.2117
0.3,0.338,-0.11,infectionProbability,0,-0.1954
0.3,0.306,-0.11,infectionProbability,0,-0.2006
0.3,0.338,-0.11,infectionProbability,0,-0.2056
0.436,0.35,-0.246,infectionProbability,0.2,-0.2206
0.328,0.344,-0.138,infectionProbability,1,-0.2115
0.3,0.34,-0.11,infectionProbability,0,-0.2104
0.5,0.35,-0.31,infectionProbability,0.8,-0.2336
0.252,0.342,0,infectionProbability,0.4,-0.2028
0.5,0.35,-0.31,averageRoomVentilationRate,0,-0.1951
0.374,0.35,-0.184,averageRoomVentilationRate,2.4,-0.1864
0.282,0.284,0,averageRoomVentilationRate,1.8,-0.1796
0.46,0.35,-0.27,averageRoomVentilationRate,3,-0.199
0.426,0.35,-0.236,averageRoomVentilationRate,1.8,-0.1978
0.318,0.35,-0.128,averageRoomVentilationRate,0.6,-0.1901
0.5,0.35,-0.31,averageRoomVentilationRate,1.2,-0.2118
0.29,0.35,-0.1,averageRoomVentilationRate,2.4,-0.1908
0.38,0.35,-0.19,averageRoomVentilationRate,0.6,-0.2034
0.484,0.35,-0.294,averageRoomVentilationRate,2.4,-0.2145
0.5,0.35,-0.31,averageRoomVentilationRate,0,-0.2203
0.418,0.322,-0.228,averageRoomVentilationRate,2.4,-0.2297
0.5,0.35,-0.31,averageRoomVentilationRate,1.8,-0.2228
0.178,0.33,0,averageRoomVentilationRate,3,-0.193
0.444,0.35,-0.266,averageRoomVentilationRate,3,-0.2138
0.5,0.35,-0.322,averageRoomVentilationRate,0.6,-0.2295
0.316,0.35,-0.138,averageRoomVentilationRate,1.2,-0.2192
0.468,0.35,-0.29,averageRoomVentilationRate,3,-0.2364
0.5,0.35,-0.322,averageRoomVentilationRate,1.2,-0.2448
0.5,0.35,-0.322,averageRoomVentilationRate,0,-0.2459
