IrE,ErE,Reward,Param,Value,Q-value
0.486,0.35,0,infectionProbability,0.2,0
0.496,0.35,0,infectionProbability,0.8,0
0.366,0.294,0.12,infectionProbability,0,0.024
0.3,0.338,0,infectionProbability,0,0.0226
0.3,0.326,0,infectionProbability,0,0.0212
0.396,0.342,0,infectionProbability,0.6,0.003
0.3,0.334,0,infectionProbability,0,0.0199
0.3,0.326,0,infectionProbability,0,0.0187
0.366,0.298,0,infectionProbability,0,0.0176
0.3,0.334,0,infectionProbability,0,0.0166
0.3,0.324,0,infectionProbability,0,0.0156
0.358,0.322,0,infectionProbability,0,0.0146
0.3,0.336,0,infectionProbability,0,0.0138
0.178,0.35,0.122,infectionProbability,0.2,0.0263
0.498,0.35,-0.32,infectionProbability,0.6,-0.0579
0.5,0.35,-0.322,infectionProbability,1,-0.0607
0.188,0.35,0,infectionProbability,0.2,0.0247
0.492,0.35,-0.314,infectionProbability,0.2,-0.0395
0.3,0.336,-0.122,infectionProbability,0,-0.0115
0.316,0.35,-0.138,infectionProbability,0.8,-0.0276
0.5,0.35,-0.322,averageRoomVentilationRate,3,-0.0644
0.5,0.35,-0.322,averageRoomVentilationRate,1.8,-0.0644
0.248,0.306,0,averageRoomVentilationRate,2.4,0
0.5,0.35,-0.322,averageRoomVentilationRate,0,-0.0644
0.5,0.35,-0.322,averageRoomVentilationRate,0.6,-0.0644
0.248,0.304,0,averageRoomVentilationRate,2.4,0
0.5,0.35,-0.322,averageRoomVentilationRate,2.4,-0.0644
0.5,0.35,-0.322,averageRoomVentilationRate,1.2,-0.0644
0.292,0.344,-0.114,averageRoomVentilationRate,1.2,-0.0833
0.5,0.35,-0.322,averageRoomVentilationRate,2.4,-0.1249
0.482,0.35,-0.304,averageRoomVentilationRate,3,-0.1213
0.32,0.35,-0.142,averageRoomVentilationRate,0.6,-0.0889
0.5,0.35,-0.322,averageRoomVentilationRate,0,-0.1249
0.5,0.35,-0.322,averageRoomVentilationRate,0.6,-0.1446
0.356,0.35,-0.178,averageRoomVentilationRate,0.6,-0.1603
0.5,0.35,-0.322,averageRoomVentilationRate,1.8,-0.1249
0.5,0.35,-0.322,averageRoomVentilationRate,1.2,-0.1427
0.372,0.278,-0.194,averageRoomVentilationRate,3,-0.1529
0.5,0.35,-0.322,averageRoomVentilationRate,2.4,-0.1818
0.5,0.35,-0.322,averageRoomVentilationRate,0,-0.1818
