IrE,ErE,Reward,Param,Value,Q-value
0.488,0.35,0,infectionProbability,0.2,0
0.3,0.324,0.188,infectionProbability,0,0.0188
0.366,0.346,0,infectionProbability,1,0.0015
0.3,0.338,0,infectionProbability,0,0.0184
0.3,0.326,0,infectionProbability,0,0.0181
0.374,0.272,0,infectionProbability,0,0.0177
0.3,0.334,0,infectionProbability,0,0.0173
0.48,0.35,-0.18,infectionProbability,0.8,-0.0166
0.362,0.294,0,infectionProbability,0,0.017
0.3,0.334,0,infectionProbability,0,0.0167
0.3,0.324,0,infectionProbability,0,0.0163
0.474,0.35,-0.174,infectionProbability,1,-0.0147
0.3,0.334,0,infectionProbability,0,0.016
0.3,0.312,0,infectionProbability,0,0.0157
0.362,0.316,0,infectionProbability,0,0.0154
0.3,0.332,0,infectionProbability,0,0.0151
0.282,0.35,0,infectionProbability,0.6,0.0012
0.36,0.342,0,infectionProbability,0,0.0148
0.3,0.334,0,infectionProbability,0,0.0145
0.3,0.306,0,infectionProbability,0,0.0142
0.3,0.35,0,averageRoomVentilationRate,0.6,0
0.3,0.29,0,averageRoomVentilationRate,1.8,0
0.3,0.294,0,averageRoomVentilationRate,1.2,0
0.3,0.218,0,averageRoomVentilationRate,3,0
0.3,0.35,0,averageRoomVentilationRate,0,0
0.3,0.346,0,averageRoomVentilationRate,0.6,0
0.3,0.244,0,averageRoomVentilationRate,2.4,0
0.3,0.35,0,averageRoomVentilationRate,0,0
0.3,0.2,0,averageRoomVentilationRate,2.4,0
0.3,0.238,0,averageRoomVentilationRate,2.4,0
0.3,0.334,0,averageRoomVentilationRate,1.2,0
0.31,0.294,0,averageRoomVentilationRate,1.2,0
0.3,0.35,0,averageRoomVentilationRate,0,0
0.3,0.35,0,averageRoomVentilationRate,0,0
0.352,0.35,0,averageRoomVentilationRate,0,0
0.3,0.298,0,averageRoomVentilationRate,1.8,0
0.3,0.17,0,averageRoomVentilationRate,3,0
0.37,0.286,0,averageRoomVentilationRate,1.2,0
0.3,0.184,0,averageRoomVentilationRate,3,0
0.3,0.35,0,averageRoomVentilationRate,0,0
0.354,0.35,0,infectionProbability,0,0.0139
0.5,0.35,-0.218,infectionProbability,0.6,-0.0196
0.3,0.35,0,infectionProbability,0,0.0136
0.428,0.35,-0.146,infectionProbability,0.8,-0.0285
