IrE,ErE,Reward,Param,Value,Q-value
0.486,0.35,0,infectionProbability,0.2,0
0.3,0.35,0.186,infectionProbability,0.2,0.0372
0.38,0.324,0,infectionProbability,0.2,0.0357
0.488,0.35,-0.188,infectionProbability,0.2,-0.0033
0.494,0.35,-0.194,infectionProbability,0.8,-0.0388
0.42,0.334,-0.12,infectionProbability,0.4,-0.024
0.3,0.338,0,infectionProbability,0,0
0.3,0.33,0,infectionProbability,0,0
0.366,0.31,0,infectionProbability,0,0
0.5,0.35,-0.2,infectionProbability,0.8,-0.071
0.472,0.35,-0.172,infectionProbability,1,-0.0344
0.368,0.324,0,infectionProbability,0,0
0.3,0.336,0,infectionProbability,0,0
0.3,0.318,0,infectionProbability,0,0
0.5,0.35,-0.2,infectionProbability,0.6,-0.04
0.3,0.332,0,infectionProbability,0,0
0.3,0.314,0,infectionProbability,0,0
0.356,0.336,0,infectionProbability,0,0
0.3,0.334,0,infectionProbability,0,0
0.3,0.308,0,infectionProbability,0,0
0.3,0.338,0,averageRoomVentilationRate,1.2,0
0.3,0.35,0,averageRoomVentilationRate,0.6,0
0.3,0.294,0,averageRoomVentilationRate,1.2,0
0.3,0.264,0,averageRoomVentilationRate,2.4,0
0.3,0.35,0,averageRoomVentilationRate,0,0
0.3,0.35,0,averageRoomVentilationRate,0,0
0.3,0.238,0,averageRoomVentilationRate,2.4,0
0.3,0.176,0,averageRoomVentilationRate,3,0
0.3,0.178,0,averageRoomVentilationRate,2.4,0
0.3,0.33,0,averageRoomVentilationRate,1.2,0
0.3,0.35,0,averageRoomVentilationRate,0.6,0
0.314,0.35,0,averageRoomVentilationRate,0,0
0.3,0.35,0,averageRoomVentilationRate,0.6,0
0.3,0.226,0,averageRoomVentilationRate,2.4,0
0.348,0.328,0,averageRoomVentilationRate,0.6,0
0.3,0.29,0,averageRoomVentilationRate,1.8,0
0.3,0.35,0,averageRoomVentilationRate,0.6,0
0.362,0.2,0,averageRoomVentilationRate,2.4,0
0.3,0.35,0,averageRoomVentilationRate,0,0
0.3,0.326,0,averageRoomVentilationRate,1.2,0
0.36,0.286,0,infectionProbability,0,0
0.3,0.336,0,infectionProbability,0,0
0.3,0.322,0,infectionProbability,0,0
0.434,0.336,-0.134,infectionProbability,0.4,-0.046
0.3,0.334,0,infectionProbability,0,0
0.3,0.322,0,infectionProbability,0,0
0.364,0.326,0,infectionProbability,0,0
0.3,0.334,0,infectionProbability,0,0
0.3,0.324,0,infectionProbability,0,0
0.354,0.324,0,infectionProbability,0,0
0.3,0.334,0,infectionProbability,0,0
0.3,0.314,0,infectionProbability,0,0
0.356,0.34,0,infectionProbability,0,0
0.3,0.334,0,infectionProbability,0,0
0.3,0.316,0,infectionProbability,0,0
0.332,0.334,0,infectionProbability,0,0
0.3,0.334,0,infectionProbability,0,0
0.3,0.29,0,infectionProbability,0,0
0.3,0.338,0,infectionProbability,0,0
0.5,0.35,-0.2,infectionProbability,0.8,-0.0968
0.256,0.298,0,averageRoomVentilationRate,2.4,0
0.5,0.35,-0.244,averageRoomVentilationRate,1.8,-0.0488
0.496,0.35,-0.24,averageRoomVentilationRate,3,-0.048
0.412,0.35,-0.156,averageRoomVentilationRate,0,-0.0312
0.5,0.35,-0.244,averageRoomVentilationRate,1.2,-0.0488
0.496,0.35,-0.24,averageRoomVentilationRate,2.4,-0.048
0.35,0.35,0,averageRoomVentilationRate,0.6,0
0.5,0.35,-0.244,averageRoomVentilationRate,0.6,-0.0488
0.492,0.35,-0.236,averageRoomVentilationRate,2.4,-0.0906
0.43,0.35,-0.174,averageRoomVentilationRate,0,-0.0648
0.5,0.35,-0.244,averageRoomVentilationRate,3,-0.0949
0.5,0.35,-0.244,averageRoomVentilationRate,0.6,-0.0956
0.278,0.344,0,averageRoomVentilationRate,1.2,-0.0468
0.5,0.35,-0.244,averageRoomVentilationRate,1.2,-0.0938
0.484,0.35,-0.228,averageRoomVentilationRate,1.8,-0.0924
0.432,0.35,-0.176,averageRoomVentilationRate,0,-0.0974
0.5,0.35,-0.244,averageRoomVentilationRate,2.4,-0.1358
0.456,0.35,-0.2,averageRoomVentilationRate,1.8,-0.1288
0.4,0.338,-0.144,averageRoomVentilationRate,1.2,-0.1188
0.5,0.35,-0.244,averageRoomVentilationRate,3,-0.1399
0.37,0.35,-0.114,infectionProbability,1,-0.0503
0.358,0.226,-0.102,infectionProbability,0,-0.0204
0.128,0.344,0.128,infectionProbability,0.2,0.0224
0.148,0.246,0,infectionProbability,0.2,0.0215
0.358,0.35,-0.23,infectionProbability,0.2,-0.0253
0.3,0.196,-0.172,infectionProbability,0,-0.054
0.152,0.262,0,infectionProbability,0.2,-0.0243
0.344,0.344,-0.216,infectionProbability,0.2,-0.0666
0.3,0.19,-0.172,infectionProbability,0,-0.084
0.202,0.316,0,infectionProbability,0.6,-0.0384
0.496,0.35,-0.368,infectionProbability,0.6,-0.1105
0.38,0.35,-0.252,infectionProbability,0.4,-0.0946
0.168,0.234,0,infectionProbability,0.4,-0.0837
0.5,0.35,-0.372,infectionProbability,1,-0.1227
0.084,0.342,0,infectionProbability,0.2,-0.0639
0.246,0.182,-0.162,infectionProbability,0.2,-0.0937
0.47,0.35,-0.386,infectionProbability,0.4,-0.1576
0.356,0.35,-0.272,infectionProbability,0.4,-0.1939
0.3,0.152,-0.216,infectionProbability,0,-0.1238
0.23,0.35,-0.146,infectionProbability,0.2,-0.1192
0.43,0.35,-0.346,averageRoomVentilationRate,1.2,-0.1796
0.248,0.35,-0.164,averageRoomVentilationRate,0.6,-0.1246
0.5,0.35,-0.416,averageRoomVentilationRate,0,-0.1767
0.228,0.35,-0.144,averageRoomVentilationRate,1.8,-0.1517
0.276,0.35,-0.192,averageRoomVentilationRate,0.6,-0.158
0.326,0.35,-0.242,averageRoomVentilationRate,2.4,-0.1787
0.076,0.316,0,averageRoomVentilationRate,3,-0.1343
0.326,0.208,-0.25,averageRoomVentilationRate,3,-0.1789
0.42,0.35,-0.344,averageRoomVentilationRate,1.8,-0.2145
0.468,0.35,-0.392,averageRoomVentilationRate,0.6,-0.2301
0.41,0.35,-0.334,averageRoomVentilationRate,0,-0.2364
0.274,0.35,-0.198,averageRoomVentilationRate,2.4,-0.2112
0.074,0.304,0,averageRoomVentilationRate,3,-0.1718
0.372,0.284,-0.298,averageRoomVentilationRate,3,-0.2245
0.484,0.35,-0.41,averageRoomVentilationRate,1.2,-0.2544
0.09,0.33,0,averageRoomVentilationRate,2.4,-0.2027
0.368,0.33,-0.294,averageRoomVentilationRate,2.4,-0.2534
0.482,0.35,-0.408,averageRoomVentilationRate,1.2,-0.3194
0.138,0.348,0,averageRoomVentilationRate,1.8,-0.2059
0.412,0.346,-0.338,averageRoomVentilationRate,1.8,-0.2653
0.5,0.35,-0.426,infectionProbability,0.8,-0.1782
0.3,0.35,-0.226,infectionProbability,0.6,-0.1512
0.49,0.35,-0.416,infectionProbability,1,-0.2004
0.342,0.35,-0.268,infectionProbability,0.2,-0.168
0.3,0.248,-0.226,infectionProbability,0,-0.1641
0.5,0.35,-0.426,infectionProbability,0.6,-0.2304
0.3,0.292,-0.226,infectionProbability,0,-0.2027
0.226,0.346,-0.152,infectionProbability,0.4,-0.2124
0.436,0.35,-0.362,infectionProbability,0.2,-0.2337
0.5,0.35,-0.426,infectionProbability,0.8,-0.2562
0.31,0.346,-0.236,infectionProbability,1,-0.2396
0.3,0.31,-0.226,infectionProbability,0,-0.2398
0.3,0.284,-0.226,infectionProbability,0,-0.271
0.226,0.322,-0.152,infectionProbability,0.4,-0.2343
0.5,0.35,-0.426,infectionProbability,0.4,-0.3095
0.496,0.35,-0.422,infectionProbability,0.6,-0.3056
0.25,0.252,-0.176,infectionProbability,0.2,-0.2596
0.5,0.35,-0.426,infectionProbability,1,-0.3152
