"Susceptible","Exposed","Infected","Recovered","OnTreatment"
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3299.0,1668.0,2.0,0.0,0.0
3299.0,1668.0,2.0,0.0,0.0
3299.0,1668.0,2.0,0.0,0.0
3299.0,1668.0,2.0,0.0,0.0
3299.0,1668.0,2.0,0.0,0.0
3299.0,1668.0,2.0,0.0,0.0
3299.0,1668.0,2.0,0.0,0.0
3299.0,1667.0,3.0,0.0,0.0
3298.0,1668.0,3.0,0.0,0.0
3298.0,1668.0,3.0,0.0,0.0
3298.0,1668.0,3.0,0.0,0.0
3298.0,1668.0,3.0,0.0,0.0
3298.0,1668.0,3.0,0.0,0.0
3298.0,1668.0,3.0,0.0,0.0
3298.0,1668.0,3.0,0.0,0.0
3298.0,1668.0,3.0,0.0,0.0
3298.0,1668.0,3.0,0.0,0.0
3298.0,1668.0,3.0,0.0,0.0
3298.0,1668.0,3.0,0.0,0.0
3298.0,1668.0,3.0,0.0,0.0
3298.0,1668.0,3.0,0.0,0.0
3298.0,1668.0,3.0,0.0,0.0
3297.0,1669.0,3.0,0.0,0.0
3297.0,1669.0,3.0,0.0,0.0
3296.0,1670.0,3.0,0.0,0.0
3296.0,1670.0,3.0,0.0,0.0
3296.0,1670.0,3.0,0.0,0.0
3296.0,1670.0,3.0,0.0,0.0
3296.0,1670.0,3.0,0.0,0.0
3296.0,1670.0,3.0,0.0,0.0
3296.0,1670.0,3.0,0.0,0.0
3296.0,1670.0,3.0,0.0,0.0
3296.0,1670.0,3.0,0.0,0.0
3296.0,1670.0,3.0,0.0,0.0
3296.0,1670.0,3.0,0.0,0.0
3296.0,1670.0,3.0,0.0,0.0
3296.0,1670.0,3.0,0.0,0.0
3296.0,1670.0,3.0,0.0,0.0
3296.0,1670.0,3.0,0.0,0.0
3296.0,1670.0,3.0,0.0,0.0
3296.0,1670.0,3.0,0.0,0.0
3296.0,1670.0,3.0,0.0,0.0
3296.0,1670.0,3.0,0.0,0.0
3296.0,1670.0,3.0,0.0,0.0
3296.0,1669.0,4.0,0.0,0.0
3296.0,1669.0,4.0,0.0,0.0
3296.0,1669.0,4.0,0.0,0.0
3296.0,1669.0,4.0,0.0,0.0
3296.0,1669.0,4.0,0.0,0.0
3296.0,1669.0,4.0,0.0,0.0
3296.0,1668.0,5.0,0.0,0.0
3293.0,1671.0,5.0,0.0,0.0
3293.0,1671.0,5.0,0.0,0.0
3293.0,1671.0,5.0,0.0,0.0
3293.0,1671.0,5.0,0.0,0.0
3293.0,1670.0,6.0,0.0,0.0
3291.0,1672.0,6.0,0.0,0.0
3291.0,1672.0,6.0,0.0,0.0
3291.0,1672.0,6.0,0.0,0.0
3291.0,1672.0,6.0,0.0,0.0
3291.0,1672.0,6.0,0.0,0.0
3291.0,1671.0,7.0,0.0,0.0
3290.0,1672.0,7.0,0.0,0.0
3290.0,1672.0,7.0,0.0,0.0
3290.0,1672.0,7.0,0.0,0.0
3290.0,1672.0,7.0,0.0,0.0
3290.0,1672.0,7.0,0.0,0.0
3290.0,1672.0,7.0,0.0,0.0
3289.0,1673.0,7.0,0.0,0.0
3289.0,1673.0,7.0,0.0,0.0
3288.0,1674.0,7.0,0.0,0.0
3288.0,1674.0,7.0,0.0,0.0
3288.0,1674.0,7.0,0.0,0.0
3288.0,1674.0,7.0,0.0,0.0
3288.0,1674.0,7.0,0.0,0.0
3288.0,1674.0,7.0,0.0,0.0
3288.0,1674.0,7.0,0.0,0.0
3288.0,1674.0,7.0,0.0,0.0
3288.0,1674.0,7.0,0.0,0.0
3288.0,1674.0,7.0,0.0,0.0
3288.0,1674.0,7.0,0.0,0.0
3288.0,1674.0,7.0,0.0,0.0
3288.0,1674.0,7.0,0.0,0.0
3288.0,1674.0,7.0,0.0,0.0
3288.0,1674.0,7.0,0.0,0.0
3288.0,1674.0,7.0,0.0,0.0
3288.0,1674.0,7.0,0.0,0.0
3288.0,1674.0,7.0,0.0,0.0
3288.0,1674.0,7.0,0.0,0.0
3288.0,1674.0,7.0,0.0,0.0
3288.0,1674.0,7.0,0.0,0.0
3288.0,1674.0,7.0,0.0,0.0
3288.0,1674.0,7.0,0.0,0.0
3288.0,1674.0,7.0,0.0,0.0
3288.0,1674.0,7.0,0.0,0.0
3288.0,1674.0,7.0,0.0,0.0
3288.0,1674.0,7.0,0.0,0.0
3288.0,1674.0,7.0,0.0,0.0
3288.0,1674.0,7.0,0.0,0.0
3288.0,1674.0,7.0,0.0,0.0
