"Susceptible","Exposed","Infected","Recovered","OnTreatment"
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,2.0,0.0,0.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
3300.0,1667.0,1.0,0.0,1.0
